Molecule Name,SMILES,Molecular weight (g/mol),Synonyms,Target,Pathway,Biological Info,Vendor ID,Vendor Name,Compound Name,Target.1,Biological Info.1,Pathway.1,canon_smiles
D-0011767,ON=C(O)CCCCCCC(=O)NC1=CC=CC=C1,264.325,"Prestw-1362, SAHA, MK0683, suberoylanilide hydroxamic acid, Vorinostat, Vorinostat (SAHA, MK0683)","Autophagy,HDAC",Epigenetics,"Vorinostat (suberoylanilide hydroxamic acid, SAHA) is an HDAC inhibitor with IC50 of ~10 nM in a cell-free assay.",S1047,Selleckchem,"Vorinostat (SAHA, MK0683)","Autophagy,HDAC","Vorinostat (suberoylanilide hydroxamic acid, SAHA) is an HDAC inhibitor with IC50 of ~10 nM in a cell-free assay.",Epigenetics,O=C(CCCCCCC(O)=NO)Nc1ccccc1
D-0011896,COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=CC3=C(OCO3)C=C12,588.562,"Etoposide, Prestw-396, VP-16, VP-16213",Topoisomerase,DNA Damage,"Etoposide is a semisynthetic derivative of podophyllotoxin, which inhibits DNA synthesis via topoisomerase II inhibition activity.",S1225,Selleckchem,Etoposide,Topoisomerase,"Etoposide is a semisynthetic derivative of podophyllotoxin, which inhibits DNA synthesis via topoisomerase II inhibition activity.",DNA Damage,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
D-0011891,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,543.525,"D-0011895, Doxorubicin (Adriamycin) HCl, Doxorubicin hydrochloride, Prestw-438",Topoisomerase,DNA Damage,Doxorubicin (Adriamycin) HCl is an antibiotic agent that inhibits DNA topoisomerase II and induces DNA damage and apoptosis in tumor cells.;,S1223,Selleckchem,OLD Epirubicin HCl,Topoisomerase,"Epirubicin HCl, a semisynthetic L-arabino derivative of doxorubicin, is an antineoplastic agent by inhibiting Topoisomerase.",DNA Damage,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
D-0012016,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O,452.595,"AG-EE 623 ZW, Prestw-1046, Repaglinide",Potassium Channel,Transmembrane Transporters,"Repaglinide is a potassium channel blocker, which lowers blood glucose by stimulating the release of insulin from the pancreas, used the treatment of type II diabetes.",S1426,Selleckchem,Repaglinide,Potassium Channel,"Repaglinide is a potassium channel blocker, which lowers blood glucose by stimulating the release of insulin from the pancreas, used the treatment of type II diabetes.",Transmembrane Transporters,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O
D-0011746,COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1,530.45,"Bosutinib, Prestw-2090",Src,Angiogenesis,"Bosutinib (SKI-606) is a novel, dual Src/Abl inhibitor with IC50 of 1.2 nM and 1 nM in cell-free assays, respectively.",S1014,Selleckchem,Bosutinib (SKI-606),Src,"Bosutinib (SKI-606) is a novel, dual Src/Abl inhibitor with IC50 of 1.2 nM and 1 nM in cell-free assays, respectively.",Angiogenesis,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
D-0011752,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC=C(F)C(Cl)=C3)=NC=NC2=C1,446.91,"D-0014210, Gefitinib, Prestw-1270, ZD1839 hydrochloride",EGFR,Protein Tyrosine Kinase,"Gefitinib is an EGFR inhibitor with IC50s of 15.5 nM and 823.3 nM for WT EGFR and EGFR (858R/T790M), respectively.; Gefitinib (ZD-1839) is an EGFR inhibitor for Tyr1173, Tyr992, Tyr1173 and Tyr992 in the NR6wtEGFR and NR6W cells with IC50 of 37 nM, 37nM, 26 nM and 57 nM, respectively.",S1025,Selleckchem,Gefitinib (ZD1839),EGFR,"Gefitinib (ZD-1839) is an EGFR inhibitor for Tyr1173, Tyr992, Tyr1173 and Tyr992 in the NR6wtEGFR and NR6W cells with IC50 of 37 nM, 37nM, 26 nM and 57 nM, respectively.",Protein Tyrosine Kinase,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
D-0011753,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CC=CN=C3)=C2)CC1,493.615,"CGP-57148B, D-0012664, Imatinib, Prestw-1290, ST-1571","Bcr-Abl,c-Kit,PDGFR",Protein Tyrosine Kinase,"Imatinib (STI571) is a multi-target inhibitor of tyrosine kinase with inhibition for v-Abl, c-Kit and PDGFR, IC50 values are 0.6 ?M, 0.1 ?M and 0.1 ?M in cell-free or cell-based assays, respectively.; Imatinib Mesylate (STI571) is an orally bioavailability mesylate salt of Imatinib, which is a multi-target inhibitor of v-Abl, c-Kit and PDGFR with IC50 of 0.6 ?M, 0.1 ?M and 0.1 ?M in cell-free or cell-based assays, respectively.",S1026,Selleckchem,Imatinib Mesylate (STI571),"Bcr-Abl,c-Kit,PDGFR","Imatinib Mesylate (STI571) is an orally bioavailability mesylate salt of Imatinib, which is a multi-target inhibitor of v-Abl, c-Kit and PDGFR with IC50 of 0.6 μM, 0.1 μM and 0.1 μM in cell-free or cell-based assays, respectively.",Protein Tyrosine Kinase,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
D-0011754,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC=C2N=CN=C(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)C2=C1,581.06,"D-0012420, D-0014309, GW-572016, GSK572016, Lapatinib, Prestw-1299, Tykerb Ditosylate","EGFR,HER2",Protein Tyrosine Kinase,"Lapatinib, used in the form of Lapatinib Ditosylate, is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM in cell-free assays, respectively.; Lapatinib (GW-572016) Ditosylate is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM in cell-free assays, respectively.",S1028,Selleckchem,Lapatinib (GW-572016) Ditosylate,"EGFR,HER2","Lapatinib (GW-572016) Ditosylate is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM in cell-free assays, respectively.",Protein Tyrosine Kinase,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
D-0011841,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2=CC=CC=C2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C3=CC=CC=C3)C(C)=C([C@@H](O)C1=O)C2(C)C,807.89,"D-0015330, Docetaxel, Prestw-1180, RP56976 (NSC 628503) Trihydrate, RP56976, NSC 628503",Microtubule Associated,Cytoskeletal Signaling,"Docetaxel, an analog of paclitaxel, is an inhibitor of depolymerisation of microtubules by binding to stabilized microtubules.",S1148,Selleckchem,Docetaxel,Microtubule Associated,"Docetaxel, an analog of paclitaxel, is an inhibitor of depolymerisation of microtubules by binding to stabilized microtubules.",Cytoskeletal Signaling,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
D-0011848,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,359.354,"Capecitabine, Prestw-1828, RO 09-1978",DNA/RNA Synthesis,DNA Damage,"Capecitabine is a tumor-selective fluoropyrimidine carbamate, which achieves higher intratumoral 5-FU level with lower toxicity than 5-FU.",S1156,Selleckchem,Capecitabine,DNA/RNA Synthesis,"Capecitabine is a tumor-selective fluoropyrimidine carbamate, which achieves higher intratumoral 5-FU level with lower toxicity than 5-FU.",DNA Damage,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
